ID,Objective,Modified Parameters,Recommended Values,Expected Impact,Results
E1,Increase model capacity,channels,"16→24, 32, 64","Higher Dice; higher GPU memory usage", Only worked with 24
E2,Add regularization to reduce overfitting,dropout,"0.0→0.1, 0.2","More robustness; possibly lower initial Dice",
E3,Explore smaller VQ embedding,n_embed; embed_dim,"1024→512, 256→128","More aggressive quantization; more compact latent space",
E4,Increase VQ codebook size,n_embed,"1024→2048","Better reconstructions; increased memory usage",
E5,Emphasize geometric boundary metrics,w_hd; w_asd,"(0.1,0.1)→(0.2,0.2)","Better HD/ASD; improved boundary sharpness",
E6,Validate more frequently,check_val,"5→1","More precise curves; slower training",
E7,Train longer,max_epochs,"100→200","Better convergence; potential overfitting",
E8,Improve training stability,batch_size,"1→2, 4","More stable gradients; increased GPU usage",
E9,Try UNet baseline without VQ,backbone model,"VQUNet3Dposv3→UNet3Dv2","Simpler baseline for comparison",
E10,Try Gumbel-based VQ model,backbone model,"VQUNet3Dposv3→GumbelUNet3Dpos","Smoother VQ; potentially more stable gradients",
E11,Increase augmentation strength,data augmentation,"Increase rotation/noise prob e.g. 0.1→0.3","Better generalization; more realistic variability",
E12,Change spatial resampling resolution,pixdim,"(0.5,0.5,1.5)→(1.0,1.0,3.0)","Faster training; loss of fine detail",
E13,Reduce crop size,roi_size,"(192,192,64)→(160,160,64)","Lower memory footprint; larger batch sizes possible",
E14,Enable early stopping,training callbacks,"Activate early_stopping","More efficient training; avoid overfitting",
E15,Try larger learning rate,learning rate,"1e-4→3e-4, 5e-4","Faster convergence; risk of instability",
E16,Increase weight decay,weight_decay,"1e-5→5e-5","More regularization; better generalization",
E17,Enable warmup schedule,learning rate schedule,"Add 10 warmup epochs","Smoother early training; reduces instability",
E18,Increase augmentation flip probability,RandFlipd(prob),"0.10→0.30","Improved anatomical variability",
E19,Increase Gaussian noise intensity,RandGaussianNoised(std),"0.05→0.10","More robustness to noise",
E20,Full “Big Model” experiment,channels; embed_dim; n_embed,"channels=32, embed_dim=128, n_embed=2048","Maximum achievable model performance",
